"45",5.395,13.768,29.279,14.833,19.269,18.76,7.578,8.806,8.594,5.522,5.226,3.642,49.296,8.925
"46",6.576,6.323,7.096,6.657,5.217,10.917,4.664,12.608,4.048,6.847,5.888,9.754,4.665,13.86
"47",14.251,5.944,14.16,24.277,123.592,2.516,1.573,52.8,13.279,109.814,29.933,17.996,2.149,200.71
"48",8.776,78.735,119.971,9.135,154.895,312.126,NA,109.715,5.737,7.335,7.728,7.438,58.125,255.444
"49",9.081,6.278,8.1,21.579,17.022,7.962,5.812,50.196,5.618,14.044,5.965,5.495,25.663,18.177
"50",9.208,3.615,3.336,4.657,3.005,306.367,5.904,5.441,3.066,4.418,2.877,4.041,10.087,7.238
"51",29.935,9.676,9.785,14.142,6.508,10.916,14.543,NA,41.751,25.133,6.07,7.52,NA,15.474
"52",49.251,2.397,1.944,1.593,2.611,1.959,1.714,3.287,22.423,84.433,22.86,8.086,1.282,1.946
"53",13.757,11.209,6.642,7.762,6.859,4.181,556.109,6.461,9.571,1.634,4.489,5.637,4.236,9.767
"54",5.64,16.521,61.127,12.04,16.016,12.852,8.999,5.983,5.646,2.969,3.213,14.888,6.96,7.425
"55",7.869,12.268,9.498,10.876,14.058,18.137,5.93,15.581,26.478,17.239,13.09,14.76,12.232,13.899
"56",7.319,6.947,8.62,8.195,10.918,10.64,14.541,7.216,7.89,5,6.113,9.536,9.51,7.381
"57",NA,49.116,160.51,402.042,267.389,366.644,269.78,234.078,1.639,1.051,1.747,11.042,81.644,NA
"58",8.023,62.279,212.003,145.552,341.002,252.458,406.928,190.508,21.097,47.31,19.864,59.241,77.904,234.095
"59",6.221,5.841,6.649,5.627,10.608,13.12,2.525,5.976,6.694,6.308,5.371,5.344,5.559,5.736
"60",19.247,5.649,7.089,14.45,12.033,4.329,6.977,10.777,5.265,4.353,15.153,5.593,5.409,6.961
"61",5.225,6.328,5.38,10.334,5.403,4.767,5.437,7.284,5.582,4.737,4.784,3.362,49.335,7.445
"62",9.759,36.643,15.345,11.551,8.992,8.68,16.66,12.248,9.048,7.164,7.801,8.378,13.876,12.476
"63",9.58,8.527,12.715,12.505,15.881,17.391,11.97,11.345,6.362,7.699,15.527,6.313,7.115,24.088
"64",5.483,NA,NA,100.812,NA,NA,NA,NA,51.038,45.655,121.546,53.639,NA,NA
"65",4.461,3.462,5.819,17.508,3.071,3.727,8.426,8.339,3.241,4.041,4.329,4.6,3.703,4.056
"66",5.443,8.699,4.693,8.384,4.93,9.213,6.238,10.495,4.266,6.729,5.97,7.787,7.516,6.53
"67",4.708,10.51,4.491,3.185,4.669,7.078,27.266,4.619,3.32,3.182,5.537,4.17,5.425,4.547
"68",3.057,7.337,7.154,5.855,4.671,7.62,6.058,6.147,4.271,3.469,7.062,5.674,4.83,4.922
"69",11.846,4.467,5.761,8.221,4.709,8.082,6.204,32.781,9.288,5.126,5.181,8.567,9.781,10.732
"70",7.931,47.106,69.917,6.078,218.774,233.134,247.281,7.055,6.25,3.862,4.464,4.299,42.524,6.173
"71",29.235,6.835,6.215,7.325,10.723,6.914,5.458,12.382,62.72,7.25,7.105,5.514,6.208,10.463
