"","41484","43680","41602","41629","238363","43609","41618","238402","41483","238369","41604","43599","41625","43681","41486"
"38",28.156,21.862,20.388,30.592,29.745,53.123,39.243,26.295,46.159,19.875,8.262,22.349,10.285,20.695,13.487
"39",67.006,24.221,23.502,33.463,8.597,70.94,19.16,51.157,58.711,69.72,7.24,11.46,13.855,7.301,16.723
"40",25.118,18.566,33.44,51.797,15.516,21.051,91.786,111.374,123.696,61.41,26.213,37.617,17.875,16.254,26.355
"41",26.13,74.103,13.064,20.252,7.819,36.354,21.479,NA,NA,37.549,34.029,NA,22.162,NA,17.314
"42",12.456,26.1,34.917,58.451,10.771,30.029,14.835,70.456,62.702,32.5,8.461,13.15,13.863,10.928,15.649
"43",26.257,16.319,17.241,20.429,8.944,24.507,16.726,29.413,48.991,48.101,7.038,12.538,12.398,8.569,8.773
"44",23.223,167.92,18.368,20.106,54.865,20.631,15.083,21.371,23.088,31.015,6.098,28.751,54.686,27.304,13.119
"45",20.261,19.58,21.459,16.079,8.788,18.164,21.065,40.592,77.644,24.012,8.281,8.481,9.595,40.874,12.999
"46",12.894,19.168,5.394,16.215,4.399,35.831,9.588,25.185,180.304,14.563,7.899,81.444,43.594,62.137,29.211
"47",16.761,8.328,14.121,20.35,11.757,14.652,9.598,21.883,27.704,28.889,10.4,46.64,7.435,9.824,13.29
"48",13.881,7.92,10.897,10.381,8.896,86.679,2.763,16.578,11.293,13.049,6.84,11.692,8.95,6.702,24.553
"49",13.565,7.364,28.51,14.081,11.254,30.398,11.446,18.365,45.118,34.282,11.506,15.554,13.212,13.758,17.495
"50",28.522,19.66,27.659,31.242,15.838,33.058,39.705,59.257,122.758,35.14,10.199,28.952,12.134,45.403,21.132
"51",19.438,13.116,16.446,28.896,6.756,30.08,10.674,32.104,25.037,49.025,11.507,10.587,12.436,12.835,21.112
"52",56.859,8.553,21.319,23.421,8.008,6.668,18.459,10.547,33.077,10.132,5.452,28.941,6.756,8.502,7.786
"53",15.725,7.49,20.917,8.278,9.443,2.323,2.735,12.318,5.696,5.183,8.255,6.146,6.712,8.074,2.31
"54",20.376,24.103,65.849,58.203,14.183,21.864,11.242,43.976,26.663,34.777,43.785,12.867,9.492,13.366,20.886
